sample,block,mean_alpha,std_alpha,corr_inv_alpha_grad
0,0,0.6246356964111328,0.001931263948790729,0.0062548629940779345
0,1,0.7601232528686523,0.0020960934925824404,-0.01171930394774487
0,2,0.6866823434829712,0.002518574008718133,0.009862389016443034
0,3,0.6245343685150146,0.0016084215603768826,0.012237751348533185
1,0,0.6246592402458191,0.0018186953384429216,-0.0339152366966816
1,1,0.7601309418678284,0.002068847883492708,-0.012679464731580093
1,2,0.6866682767868042,0.002544886665418744,-0.05129816991033617
1,3,0.624532163143158,0.0016089635901153088,-0.0423569587079459
2,0,0.6246662139892578,0.001762941014021635,0.05939799842805505
2,1,0.7601050734519958,0.0020959244575351477,0.02415045256017508
2,2,0.6866984367370605,0.0024914981331676245,0.09572162928439969
2,3,0.6245437860488892,0.001589485676959157,0.07882916522462237
3,0,0.6246585845947266,0.0018245094688609242,0.005628512284827917
3,1,0.7601220011711121,0.0020910510793328285,0.012863271432909128
3,2,0.6866823434829712,0.0025192468892782927,0.0206058440721359
3,3,0.6245343685150146,0.001605659257620573,0.004898738704171026
4,0,0.6246294379234314,0.001837891060858965,-0.051194811660922
4,1,0.7601057887077332,0.0020810929127037525,-0.005266122376715218
4,2,0.6867179274559021,0.0024554631672799587,-0.06376524938351626
4,3,0.624552845954895,0.0015690326690673828,-0.05870496653614948
5,0,0.6246477365493774,0.0017859124345704913,-0.014584494554039184
5,1,0.7600879073143005,0.002067588735371828,-0.017048601408303266
5,2,0.6867232918739319,0.0024473322555422783,-0.031508009289073664
5,3,0.6245548725128174,0.0015639823395758867,-0.01937876023456406
